step:32/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:33/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0000 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:34/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:35/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0000 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:36/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:37/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:38/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0000 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:39/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:40/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:41/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1875 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:42/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0000 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:43/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:44/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:45/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:46/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:47/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:48/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0000 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:49/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0000 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:50/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:51/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1875 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:52/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:53/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0000 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:54/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:55/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:56/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:57/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0000 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:58/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.0000 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:59/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:60/14351 for epoch:1/12 | train loss:2.7080 | train acc:0.1875 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
