step:32/1794 for epoch:1/12 | train loss:2.5864 | train acc:0.1328 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:33/1794 for epoch:1/12 | train loss:2.6074 | train acc:0.1094 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:34/1794 for epoch:1/12 | train loss:2.5782 | train acc:0.1406 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:35/1794 for epoch:1/12 | train loss:2.6041 | train acc:0.1016 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:36/1794 for epoch:1/12 | train loss:2.6085 | train acc:0.0781 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:37/1794 for epoch:1/12 | train loss:2.6224 | train acc:0.0781 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:38/1794 for epoch:1/12 | train loss:2.6583 | train acc:0.0859 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:39/1794 for epoch:1/12 | train loss:2.5763 | train acc:0.1172 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:40/1794 for epoch:1/12 | train loss:2.6225 | train acc:0.0859 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:41/1794 for epoch:1/12 | train loss:2.6119 | train acc:0.0859 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:42/1794 for epoch:1/12 | train loss:2.5559 | train acc:0.1328 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:43/1794 for epoch:1/12 | train loss:2.5754 | train acc:0.0859 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:44/1794 for epoch:1/12 | train loss:2.5366 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:45/1794 for epoch:1/12 | train loss:2.6160 | train acc:0.1016 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:46/1794 for epoch:1/12 | train loss:2.5897 | train acc:0.0781 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:47/1794 for epoch:1/12 | train loss:2.5965 | train acc:0.1172 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
